incident_id,channel,status,success,message
INC-LOG-105-967966,json,generated,True,"{""incident_id"": ""INC-LOG-105-967966"", ""timestamp"": ""2026-08-17T13:36:16.898187+00:00"", ""threat_type"": ""Ransomware"", ""severity"": ""Critical"", ""risk_score"": 94.5, ""source_ip"": ""172.16.5.44"", ""asset"": ""file-server-01"", ""mitre_attack_technique"": ""T1486 - Data Encrypted for Impact"", ""decision"": {""incident_id"": ""INC-LOG-105-967966"", ""action"": ""quarantine_device"", ""justification"": ""Default policy action for Ransomware at risk score 94.5 (severity: Critical)."", ""requires_human_approval"": false, ""decision_method"": ""heuristic""}, ""response"": {""incident_id"": ""INC-LOG-105-967966"", ""action"": ""quarantine_device"", ""status"": ""simulated"", ""success"": true, ""details"": {""tool"": ""quarantine_device"", ""asset"": ""file-server-01"", ""reason"": ""Default policy action for Ransomware at risk score 94.5 (severity: Critical)."", ""status"": ""simulated"", ""timestamp"": ""2026-08-17T13:36:16.784285+00:00"", ""success"": true}, ""runbook_note"": ""Executed 'quarantine_device' on incident INC-LOG-105-967966: Default policy action for Ransomware at risk score 94.5 (severity: Critical).""}}"
INC-LOG-105-967966,email,simulated,True,[CRITICAL] Ransomware detected on file-server-01
INC-LOG-103-9FCD4B,json,generated,True,"{""incident_id"": ""INC-LOG-103-9FCD4B"", ""timestamp"": ""2026-08-17T13:36:16.899177+00:00"", ""threat_type"": ""DDoS"", ""severity"": ""Critical"", ""risk_score"": 87.5, ""source_ip"": ""91.198.174.10"", ""asset"": ""firewall-01"", ""mitre_attack_technique"": ""T1498 - Network Denial of Service"", ""decision"": {""incident_id"": ""INC-LOG-103-9FCD4B"", ""action"": ""rate_limit"", ""justification"": ""Default policy action for DDoS at risk score 87.5 (severity: Critical)."", ""requires_human_approval"": false, ""decision_method"": ""heuristic""}, ""response"": {""incident_id"": ""INC-LOG-103-9FCD4B"", ""action"": ""rate_limit"", ""status"": ""simulated"", ""success"": true, ""details"": {""tool"": ""rate_limit"", ""ip_address"": ""91.198.174.10"", ""requests_per_minute"": 60, ""reason"": ""Default policy action for DDoS at risk score 87.5 (severity: Critical)."", ""status"": ""simulated"", ""timestamp"": ""2026-08-17T13:36:16.785282+00:00"", ""success"": true}, ""runbook_note"": ""Executed 'rate_limit' on incident INC-LOG-103-9FCD4B: Default policy action for DDoS at risk score 87.5 (severity: Critical).""}}"
INC-LOG-103-9FCD4B,email,simulated,True,[CRITICAL] DDoS detected on firewall-01
INC-LOG-101-F105B9,json,generated,True,"{""incident_id"": ""INC-LOG-101-F105B9"", ""timestamp"": ""2026-08-17T13:36:16.900174+00:00"", ""threat_type"": ""Brute Force"", ""severity"": ""High"", ""risk_score"": 81.5, ""source_ip"": ""185.220.101.42"", ""asset"": ""bastion-01"", ""mitre_attack_technique"": ""T1110 - Brute Force"", ""decision"": {""incident_id"": ""INC-LOG-101-F105B9"", ""action"": ""block_ip"", ""justification"": ""Default policy action for Brute Force at risk score 81.5 (severity: High)."", ""requires_human_approval"": false, ""decision_method"": ""heuristic""}, ""response"": {""incident_id"": ""INC-LOG-101-F105B9"", ""action"": ""block_ip"", ""status"": ""simulated"", ""success"": true, ""details"": {""tool"": ""block_ip"", ""ip_address"": ""185.220.101.42"", ""reason"": ""Default policy action for Brute Force at risk score 81.5 (severity: High)."", ""status"": ""simulated"", ""timestamp"": ""2026-08-17T13:36:16.785282+00:00"", ""success"": true}, ""runbook_note"": ""Executed 'block_ip' on incident INC-LOG-101-F105B9: Default policy action for Brute Force at risk score 81.5 (severity: High).""}}"
INC-LOG-101-F105B9,email,simulated,True,[HIGH] Brute Force detected on bastion-01
INC-LOG-102-432B2E,json,generated,True,"{""incident_id"": ""INC-LOG-102-432B2E"", ""timestamp"": ""2026-08-17T13:36:16.900174+00:00"", ""threat_type"": ""SQL Injection"", ""severity"": ""High"", ""risk_score"": 70.25, ""source_ip"": ""45.77.21.90"", ""asset"": ""web-01"", ""mitre_attack_technique"": ""T1190 - Exploit Public-Facing Application"", ""decision"": {""incident_id"": ""INC-LOG-102-432B2E"", ""action"": ""generate_firewall_rule"", ""justification"": ""Default policy action for SQL Injection at risk score 70.2 (severity: High)."", ""requires_human_approval"": false, ""decision_method"": ""heuristic""}, ""response"": {""incident_id"": ""INC-LOG-102-432B2E"", ""action"": ""generate_firewall_rule"", ""status"": ""simulated"", ""success"": true, ""details"": {""tool"": ""generate_firewall_rule"", ""ip_address"": ""45.77.21.90"", ""rule"": ""deny ip from 45.77.21.90 to any"", ""reason"": ""Default policy action for SQL Injection at risk score 70.2 (severity: High)."", ""status"": ""simulated"", ""timestamp"": ""2026-08-17T13:36:16.787811+00:00"", ""success"": true}, ""runbook_note"": ""Executed 'generate_firewall_rule' on incident INC-LOG-102-432B2E: Default policy action for SQL Injection at risk score 70.2 (severity: High).""}}"
INC-LOG-102-432B2E,email,simulated,True,[HIGH] SQL Injection detected on web-01
INC-LOG-104-2A1702,json,generated,True,"{""incident_id"": ""INC-LOG-104-2A1702"", ""timestamp"": ""2026-08-17T13:36:16.901186+00:00"", ""threat_type"": ""Port Scanning"", ""severity"": ""Low"", ""risk_score"": 47.25, ""source_ip"": ""103.45.67.89"", ""asset"": ""workstation-14"", ""mitre_attack_technique"": ""T1046 - Network Service Discovery"", ""decision"": {""incident_id"": ""INC-LOG-104-2A1702"", ""action"": ""block_ip"", ""justification"": ""Default policy action for Port Scanning at risk score 47.2 (severity: Low)."", ""requires_human_approval"": false, ""decision_method"": ""heuristic""}, ""response"": {""incident_id"": ""INC-LOG-104-2A1702"", ""action"": ""block_ip"", ""status"": ""simulated"", ""success"": true, ""details"": {""tool"": ""block_ip"", ""ip_address"": ""103.45.67.89"", ""reason"": ""Default policy action for Port Scanning at risk score 47.2 (severity: Low)."", ""status"": ""simulated"", ""timestamp"": ""2026-08-17T13:36:16.787811+00:00"", ""success"": true}, ""runbook_note"": ""Executed 'block_ip' on incident INC-LOG-104-2A1702: Default policy action for Port Scanning at risk score 47.2 (severity: Low).""}}"
INC-LOG-104-2A1702,email,simulated,True,[LOW] Port Scanning detected on workstation-14
